epoch	loss	prec1	prec5	lr
1	3.4689977169036865	52.500003814697266	100.0	0.0005
2	3.458528995513916	51.25	100.0	0.0005
3	3.453782081604004	55.0	100.0	0.0005
4	3.4112441539764404	57.5	100.0	0.0005
5	3.408579111099243	55.0	100.0	0.0005
6	3.4039111137390137	53.750003814697266	100.0	0.0005
7	3.369917392730713	57.5	100.0	0.0005
8	3.3949055671691895	57.5	100.0	0.0005
9	3.3731799125671387	65.0	100.0	0.0005
10	3.360344171524048	67.5	100.0	0.0005
11	3.3568429946899414	68.75	100.0	0.0005
12	3.3399059772491455	68.75	100.0	0.0005
13	3.3614630699157715	65.0	100.0	0.0005
14	3.3432013988494873	73.75	100.0	0.0005
15	3.335634231567383	75.0	100.0	0.0005
16	3.3355250358581543	71.25	100.0	0.0005
17	3.2777416706085205	80.0	100.0	0.0005
18	3.304159641265869	76.25	100.0	0.0005
19	3.3036415576934814	76.25	100.0	0.0005
20	3.305659532546997	71.25	100.0	0.0005
21	3.2760887145996094	81.25	100.0	0.0005
22	3.304436445236206	73.75	100.0	0.0005
23	3.27687668800354	76.25	100.0	0.0005
24	3.268625259399414	81.25	100.0	0.0005
25	3.244744300842285	80.0	100.0	0.0005
26	3.277554750442505	78.75	100.0	0.0005
27	3.2702441215515137	78.75	100.0	0.0005
28	3.2634706497192383	80.0	100.0	0.0005
29	3.272536277770996	76.25	100.0	0.0005
30	3.226547956466675	81.25	100.0	0.0005
31	3.2587013244628906	77.5	100.0	0.0005
32	3.243581533432007	76.25	100.0	0.0005
33	3.2402946949005127	80.0	100.0	0.0005
34	3.195366382598877	83.75	100.0	0.0005
35	3.1783480644226074	83.75	100.0	0.0005
36	3.2162559032440186	78.75	100.0	0.0005
37	3.178445339202881	81.25	100.0	0.0005
38	3.185964345932007	86.25	100.0	0.0005
39	3.1550328731536865	86.25	100.0	0.0005
40	3.0960729122161865	90.0	100.0	0.0005
