epoch	loss	prec1	prec5
1	3,3854153156280518	53,75	100,0
2	3,363044261932373	56,25	100,0
3	3,352348804473877	58,75	100,0
4	3,3409576416015625	61,25	100,0
5	3,336416482925415	63,75	100,0
6	3,329439878463745	65,0	100,0
7	3,3247151374816895	65,0	100,0
8	3,3135361671447754	70,0	100,0
9	3,308366298675537	72,5	100,0
10	3,3020384311676025	76,25	100,0
11	3,2939553260803223	81,25	100,0
12	3,2860100269317627	82,5	100,0
13	3,2800984382629395	83,75	100,0
14	3,264631748199463	83,75	100,0
15	3,255572557449341	86,25	100,0
16	3,247234344482422	86,25	100,0
17	3,2476062774658203	86,25	100,0
18	3,2407302856445312	88,75	100,0
19	3,2224621772766113	88,75	100,0
20	3,217747449874878	87,5	100,0
21	3,2111730575561523	87,5	100,0
22	3,197783946990967	87,5	100,0
23	3,188657283782959	87,5	100,0
24	3,1848204135894775	87,5	100,0
25	3,178800344467163	88,75	100,0
26	3,1720902919769287	88,75	100,0
27	3,163710117340088	88,75	100,0
28	3,1588897705078125	88,75	100,0
29	3,1480331420898438	90,0	100,0
30	3,1280312538146973	90,0	100,0
31	3,1302013397216797	87,5	100,0
32	3,1268396377563477	88,75	100,0
33	3,1112847328186035	88,75	100,0
34	3,111490488052368	87,5	100,0
35	3,0996735095977783	88,75	100,0
36	3,083644151687622	91,25	100,0
37	3,0737948417663574	90,0	100,0
38	3,0525052547454834	91,25	100,0
39	3,054725170135498	91,25	100,0
40	3,05168080329895	91,25	100,0
